55	,	POLLITT, Rafael Rhys	,	GBR	,	FENCERS CLUB LONDO
56	,	STANBRIDGE, Paul	,	GBR	,	SALLE HOLYROOD
57	,	WILLIAMS, Tony	,	GBR	,	BATH SWORD
58	,	LONSDALE, William	,	GBR	,	LOUTH
59	,	NERC, Michal	,	GBR	,	LEICESTER UNIVERSI
60	,	GROSVENOR, Owen	,	GBR	,	SALLE PAUL
61	,	CHENG, Vinton	,	GBR	,	OXFORD UNIVERSITY
62	,	BURN, Josh	,	GBR	,	COCKS MOORS WOODS
63	,	ALDERMAN, Shaun	,	GBR	,	SALLE HOLYROOD
64	,	MITA, Charles	,	GBR	,	SALLE OXON
65	,	FEASTER, Daniel	,	GBR	,	u/a 2
66	,	CHEW, Michael	,	GBR	,	SALLE PAUL
67	,	SHEPHERD, Benjamin	,	GBR	,	LEICESTER UNIVERSI
68	,	AUSTIN, Kiron	,	GBR	,	NEWHAM SWORDS
68	,	BANKS, Joe	,	GBR	,	SAXON
70	,	WILLIAMS, Jay	,	GBR	,	SALLE OXON
71	,	ELLIKER, Dan	,	GBR	,	COCKS MOORS WOODS
72	,	CARTER, Martin Luath	,	GBR	,	SALLE OXON
73	,	CANN, Thomas Jonathan	,	GBR	,	LANCASTER UNIVERSI
74	,	COUPER, James	,	IRL	,	SALLE DUBLIN
75	,	MISHIMA, Izumu	,	GBR	,	KENILWORTH SWORD C
76	,	COWLEY, Matthew	,	GBR	,	LOUGHBOROUGH UNIVE
76	,	QUELCH, Leon	,	GBR	,	SALLE OXON
78	,	JAMSHIDI, Sean	,	GBR	,	SALLE BOSTON
79	,	MACCHIAROLA, Alessandro	,	GBR	,	SALLE BOSTON
80	,	POWELL, Matthew	,	GBR	,	COCKS MOORS WOODS
81	,	JUNG, Jimmy	,	GBR	,	ACADEMY
82	,	LEE, Philip	,	IRL	,	PEMBROKE FC
82	,	PAGE, James	,	GBR	,	NEWHAM SWORDS
84	,	MILNE, Kev	,	GBR	,	SALLE HOLYROOD
84	,	NASH, Oliver	,	GBR	,	SUTTON COLDFIELD F
86	,	SAMPSON, Dominic	,	GBR	,	KENILWORTH SWORD C
87	,	MCGLONE, Theo	,	GBR	,	FIGHTING FIT
88	,	PAUL, Graham	,	GBR	,	SALLE PAUL
89	,	BENKE, Charles	,	GBR	,	SUTTON COLDFIELD F
90	,	CONROY, David	,	GBR	,	ARMY
91	,	MITTELHOLZER, Jarred	,	GBR	,	HEREFORDSHIRE FC
92	,	DEMPSEY, Patrick	,	IRL	,	SAXON
93	,	SUDDERICK, Felix	,	GBR	,	LIVERPOOL UNIVERSI
94	,	GARCIA, Jesus	,	GBR	,	IMPERIAL COLLEGE F
95	,	LIVINGSTONE, Patrick	,	GBR	,	SALLE PAUL
96	,	WILD, Chris	,	GBR	,	CARDIFF UNIVERSITY
97	,	KUZNETSOV, Nikita	,	GBR	,	ZFW
97	,	NAGLE, Conor	,	IRL	,	MUNSTER BLADES
99	,	STRANGE, Oliver	,	GBR	,	SALLE PAUL
100	,	APPLEYARD, Joel	,	GBR	,	NORTHAMPTON
101	,	GIBBON, Rhodri	,	GBR	,	RUSSELL SWORDS
102	,	GUNDLE, Leo	,	GBR	,	UNIVERSITY OF BRIS
103	,	HENDERSON, Ross	,	GBR	,	SALLE HOLYROOD
103	,	WOOD-FISHER, James	,	GBR	,	GWENT SWORD
105	,	HALL, Mark	,	GBR	,	BIRMINGHAM UNIVERS
106	,	PATRICK, Kieran	,	GBR	,	LEICESTER UNIVERSI
107	,	JOY, James	,	GBR	,	SAXON
107	,	TAN, Gerald	,	GBR	,	SALLE BOSTON
109	,	VAN AARSEN, Geert	,	GBR	,	SALLE BOSTON
110	,	OSSYRA, Matthias	,	GBR	,	LONDON FC
111	,	HAU, Den Sen	,	GBR	,	SALLE PAUL
112	,	CHRISTOPHERS, Edward	,	GBR	,	FIGHTING FIT
113	,	PATMORE, Sean	,	IRL	,	DUBLIN UNIVERSITY
114	,	ALMUMIN, Mohammed	,	KWT	,	QADSIYA
114	,	BRASTED, Chris	,	GBR	,	LONDON FC
114	,	SUNG, Velota	,	GBR	,	BIRMINGHAM FC
117	,	RAVENSCROFT, Craig	,	GBR	,	BIRMINGHAM FC

